document,chunk_count,belongs_to,data_source,source_path
Disciplinary Proceeding Rule- 1999 PPT.pdf,35,ISO_Ai_helpdesk_Document/Establishment,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/Disciplinary Proceeding Rule- 1999 PPT.pdf
Dying heirness complete.pdf,41,ISO_Ai_helpdesk_Document/Establishment,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/Dying heirness complete.pdf
Dying in Harness Application form.pdf,2,ISO_Ai_helpdesk_Document/Establishment,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/Dying in Harness Application form.pdf
Dying in Harness Rule PPT.pdf,14,ISO_Ai_helpdesk_Document/Establishment,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/Dying in Harness Rule PPT.pdf
E-OFFICE GOVT. ORDERS.pdf,8,ISO_Ai_helpdesk_Document/Establishment,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/E-OFFICE GOVT. ORDERS.pdf
Honorarium to Arbitrators_29.06.2015.pdf,5,ISO_Ai_helpdesk_Document/Establishment,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/Honorarium to Arbitrators_29.06.2015.pdf
Padnam Parivartan to JE.pdf,3,ISO_Ai_helpdesk_Document/Establishment,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/Padnam Parivartan to JE.pdf
Pay Fixation 10.02.2025.pdf,24,ISO_Ai_helpdesk_Document/Establishment,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/Pay Fixation 10.02.2025.pdf
TRAVEL ALLOWANCE GO.pdf,15,ISO_Ai_helpdesk_Document/Establishment,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/TRAVEL ALLOWANCE GO.pdf
Two family Pension (07.03.25).pdf,2,ISO_Ai_helpdesk_Document/Establishment,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/Two family Pension (07.03.25).pdf
Unified Pension Scheme Gazette.pdf,58,ISO_Ai_helpdesk_Document/Establishment,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/Unified Pension Scheme Gazette.pdf
UP Government Servant Conduct Rules (Amendment) 2014.pdf,5,ISO_Ai_helpdesk_Document/Establishment,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/UP Government Servant Conduct Rules (Amendment) 2014.pdf
Writ GO 22.02.2007.pdf,16,ISO_Ai_helpdesk_Document/Establishment,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/Writ GO 22.02.2007.pdf
उत्तर प्रदेश सरकारी सेवक आचरण नियमावली 1956.pdf,52,ISO_Ai_helpdesk_Document/Establishment,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/उत्तर प्रदेश सरकारी सेवक आचरण नियमावली 1956.pdf
Fundamental & Subsidiary Rule & Leave Rule PPT.pdf,49,ISO_Ai_helpdesk_Document/Establishment/PPT,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/PPT/Fundamental & Subsidiary Rule & Leave Rule PPT.pdf
Fundamental & Subsidiary Rule PPT.pdf,31,ISO_Ai_helpdesk_Document/Establishment/PPT,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/PPT/Fundamental & Subsidiary Rule PPT.pdf
GIS_PPT.pdf,21,ISO_Ai_helpdesk_Document/Establishment/PPT,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/PPT/GIS_PPT.pdf
GPF Rules PPT.pdf,9,ISO_Ai_helpdesk_Document/Establishment/PPT,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/PPT/GPF Rules PPT.pdf
Leave Rule PPT.pdf,23,ISO_Ai_helpdesk_Document/Establishment/PPT,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/PPT/Leave Rule PPT.pdf
NPS_PPT.pdf,8,ISO_Ai_helpdesk_Document/Establishment/PPT,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/PPT/NPS_PPT.pdf
PAY FIXATION RULE ACP PPT.pdf,16,ISO_Ai_helpdesk_Document/Establishment/PPT,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/PPT/PAY FIXATION RULE ACP PPT.pdf
Retirement Benefit Rules_Family Pension & Death Gratuity PPT.pdf,18,ISO_Ai_helpdesk_Document/Establishment/PPT,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/PPT/Retirement Benefit Rules_Family Pension & Death Gratuity PPT.pdf
Retirement Benefit Rules_PPT.pdf,10,ISO_Ai_helpdesk_Document/Establishment/PPT,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/PPT/Retirement Benefit Rules_PPT.pdf
The Government Servant Conduct Rule PPT.pdf,35,ISO_Ai_helpdesk_Document/Establishment/PPT,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/1.Establishment/PPT/The Government Servant Conduct Rule PPT.pdf
1990 flood GO.pdf,7,ISO_Ai_helpdesk_Document/Flood,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/5.Flood/1990 flood GO.pdf
CWC DPR_Guidelines_Flood_management_Works_12Apr2018.pdf,165,ISO_Ai_helpdesk_Document/Flood,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/5.Flood/CWC DPR_Guidelines_Flood_management_Works_12Apr2018.pdf
Flood Protection Works PPT.pdf,34,ISO_Ai_helpdesk_Document/Flood,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/5.Flood/Flood Protection Works PPT.pdf
Geo Mattress.pdf,13,ISO_Ai_helpdesk_Document/Flood,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/5.Flood/Geo Mattress.pdf
New Doc 2018-10-29 133020_240628_172253.pdf,4,ISO_Ai_helpdesk_Document/Flood,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/5.Flood/New Doc 2018-10-29 133020_240628_172253.pdf
WALMI FLOOD LONG PPT.pdf,108,ISO_Ai_helpdesk_Document/Flood,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/5.Flood/WALMI FLOOD LONG PPT.pdf
"Adobe Scan May 4, 2026.pdf",3,ISO_Ai_helpdesk_Document/General,ISO_Ai_helpdesk_Document,"vectorDB/../ISO_Ai_helpdesk_Document/Adobe Scan May 4, 2026.pdf"
Court Case Pairvi Prakriya _ 11.07.2022.pdf,4,ISO_Ai_helpdesk_Document/General,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/Court Case Pairvi Prakriya _ 11.07.2022.pdf
Enquiry GO _ 19.07.2022.pdf,15,ISO_Ai_helpdesk_Document/General,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/Enquiry GO _ 19.07.2022.pdf
FAQ-RTI-Hin.pdf,6,ISO_Ai_helpdesk_Document/General,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/FAQ-RTI-Hin.pdf
IGRSSHASANADESH (1).pdf,71,ISO_Ai_helpdesk_Document/General,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/IGRSSHASANADESH (1).pdf
Nivida Path.pdf,7,ISO_Ai_helpdesk_Document/General,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/Nivida Path.pdf
NoC vrb's.pdf,1,ISO_Ai_helpdesk_Document/General,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/NoC vrb's.pdf
pul puliya noc.pdf,3,ISO_Ai_helpdesk_Document/General,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/pul puliya noc.pdf
Service Book After Retire.pdf,6,ISO_Ai_helpdesk_Document/General,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/Service Book After Retire.pdf
ADCP_PPT.pdf,16,ISO_Ai_helpdesk_Document/IT,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/4.IT/ADCP_PPT.pdf
CM Helpline PPT.pdf,13,ISO_Ai_helpdesk_Document/IT,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/4.IT/CM Helpline PPT.pdf
IGRS PPT.pdf,22,ISO_Ai_helpdesk_Document/IT,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/4.IT/IGRS PPT.pdf
2022 order.pdf,58,ISO_Ai_helpdesk_Document/Miscellaneous,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/12.Miscellaneous/2022 order.pdf
Adobe Scan 01-Aug-2024.pdf,1,ISO_Ai_helpdesk_Document/Miscellaneous,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/12.Miscellaneous/Adobe Scan 01-Aug-2024.pdf
Adobe Scan 16-Oct-2024.pdf,1,ISO_Ai_helpdesk_Document/Miscellaneous,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/12.Miscellaneous/Adobe Scan 16-Oct-2024.pdf
Document from Prashu.pdf,5,ISO_Ai_helpdesk_Document/Miscellaneous,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/12.Miscellaneous/Document from Prashu.pdf
GO 2.pdf,1,ISO_Ai_helpdesk_Document/Miscellaneous,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/12.Miscellaneous/GO 2.pdf
liability GO.pdf,5,ISO_Ai_helpdesk_Document/Miscellaneous,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/12.Miscellaneous/liability GO.pdf
Maintenance of Road@5 years .pdf,7,ISO_Ai_helpdesk_Document/Miscellaneous,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/12.Miscellaneous/Maintenance of Road@5 years .pdf
water body encroachments UP NGT.pdf,45,ISO_Ai_helpdesk_Document/Miscellaneous,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/12.Miscellaneous/water body encroachments UP NGT.pdf
Emailing order regarding royalty verification.pdf,2,ISO_Ai_helpdesk_Document/Revenue,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/2.Revenue/Emailing order regarding royalty verification.pdf
Irrigation Rate(Mahsool).pdf,10,ISO_Ai_helpdesk_Document/Revenue,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/2.Revenue/Irrigation Rate(Mahsool).pdf
NI Canal Act by Baburam.pdf,12,ISO_Ai_helpdesk_Document/Revenue,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/2.Revenue/NI Canal Act by Baburam.pdf
Patta.pdf,3,ISO_Ai_helpdesk_Document/Revenue,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/2.Revenue/Patta.pdf
Patta_250403_113600.pdf,3,ISO_Ai_helpdesk_Document/Revenue,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/2.Revenue/Patta_250403_113600.pdf
revenue Terminology PPT.pdf,54,ISO_Ai_helpdesk_Document/Revenue,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/2.Revenue/revenue Terminology PPT.pdf
Tawan.pdf,4,ISO_Ai_helpdesk_Document/Revenue,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/2.Revenue/Tawan.pdf
2000 AE EE SE Tender order.pdf,3,ISO_Ai_helpdesk_Document/Tenders and Contract,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/11. Tenders and Contract/2000 AE EE SE Tender order.pdf
agreement GO.pdf,7,ISO_Ai_helpdesk_Document/Tenders and Contract,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/11. Tenders and Contract/agreement GO.pdf
commety for tender open irrigation 21 jul 2000.pdf,3,ISO_Ai_helpdesk_Document/Tenders and Contract,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/11. Tenders and Contract/commety for tender open irrigation 21 jul 2000.pdf
Contractor Registeration Portal UP Irrigation.pdf,17,ISO_Ai_helpdesk_Document/Tenders and Contract,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/11. Tenders and Contract/Contractor Registeration Portal UP Irrigation.pdf
DPR _Detailed Project Report_ Writeup.pdf,14,ISO_Ai_helpdesk_Document/Tenders and Contract,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/11. Tenders and Contract/DPR _Detailed Project Report_ Writeup.pdf
GO 22022007_240214_104551.pdf,16,ISO_Ai_helpdesk_Document/Tenders and Contract,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/11. Tenders and Contract/GO 22022007_240214_104551.pdf
GO Tender UPPWD 8-6-17_240226_142200.pdf,38,ISO_Ai_helpdesk_Document/Tenders and Contract,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/11. Tenders and Contract/GO Tender UPPWD 8-6-17_240226_142200.pdf
Rules-all categories-Of-Contractors IDUP.pdf,71,ISO_Ai_helpdesk_Document/Tenders and Contract,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/11. Tenders and Contract/Rules-all categories-Of-Contractors IDUP.pdf
Time extension _FHB vol 1.pdf,2,ISO_Ai_helpdesk_Document/Tenders and Contract,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/11. Tenders and Contract/Time extension _FHB vol 1.pdf
